date,latitude,temperature,humidity,wind_speed,precipitation
20210101,30.0444,14.68,72.19,3.01,0.0
20210102,30.0444,15.72,71.16,3.23,0.0
20210103,30.0444,15.15,75.11,3.2,0.0
20210104,30.0444,16.33,69.99,2.04,0.0
20210105,30.0444,17.29,61.59,2.35,0.0
20210106,30.0444,17.22,66.23,3.48,0.0
20210107,30.0444,18.28,47.06,3.42,0.0
20210108,30.0444,17.5,43.09,3.05,0.0
20210109,30.0444,16.06,54.93,3.11,0.0
20210110,30.0444,16.05,69.67,3.78,0.0
20210111,30.0444,16.76,62.63,4.32,0.34
20210112,30.0444,18.73,35.53,3.84,0.0
20210113,30.0444,17.15,46.11,6.09,0.0
20210114,30.0444,13.06,57.98,5.24,0.04
20210115,30.0444,12.25,61.66,3.46,0.03
20210116,30.0444,12.23,56.37,4.36,0.0
20210117,30.0444,12.29,55.05,6.44,0.02
20210118,30.0444,11.02,61.63,4.2,0.0
20210119,30.0444,12.04,65.9,5.69,0.93
20210120,30.0444,10.73,66.88,5.28,0.46
20210121,30.0444,10.25,65.64,4.19,0.0
20210122,30.0444,11.14,63.94,4.53,0.0
20210123,30.0444,11.76,62.01,3.09,0.0
20210124,30.0444,11.93,67.11,2.79,0.0
20210125,30.0444,12.67,66.59,2.51,0.0
20210126,30.0444,13.45,53.97,3.57,0.0
20210127,30.0444,14.87,43.06,4.69,0.0
20210128,30.0444,11.37,60.86,3.81,0.0
20210129,30.0444,11.26,54.41,4.97,0.21
20210130,30.0444,11.55,50.31,5.03,0.0
20210131,30.0444,14.64,41.67,4.79,0.0
20210201,30.0444,17.4,33.61,2.71,0.0
20210202,30.0444,18.51,24.54,2.57,0.0
20210203,30.0444,17.77,26.61,3.04,0.01
20210204,30.0444,14.35,77.61,4.24,2.97
20210205,30.0444,15.34,72.72,4.94,0.67
20210206,30.0444,15.22,68.24,2.16,0.0
20210207,30.0444,15.13,62.81,2.37,0.0
20210208,30.0444,17.21,40.17,2.77,0.0
20210209,30.0444,18.65,34.99,2.92,0.0
20210210,30.0444,17.3,61.12,3.36,0.0
20210211,30.0444,16.2,58.26,3.69,0.0
20210212,30.0444,14.97,54.57,3.67,0.0
20210213,30.0444,13.98,63.44,2.76,0.0
20210214,30.0444,13.68,65.81,2.75,0.0
20210215,30.0444,13.98,61.85,2.59,0.13
20210216,30.0444,10.27,76.88,5.84,5.65
20210217,30.0444,7.75,69.6,7.52,2.78
20210218,30.0444,10.35,64.49,4.3,0.24
20210219,30.0444,10.06,75.65,3.51,4.33
20210220,30.0444,11.09,67.54,3.87,0.0
20210221,30.0444,11.66,65.47,3.04,0.03
20210222,30.0444,12.38,65.51,3.51,0.02
20210223,30.0444,12.0,82.8,4.76,3.01
20210224,30.0444,13.93,69.96,4.94,0.19
20210225,30.0444,15.34,70.63,2.9,0.14
20210226,30.0444,13.94,67.54,2.43,0.0
20210227,30.0444,14.38,69.4,4.23,0.0
20210228,30.0444,13.95,70.67,3.61,0.0
20210301,30.0444,14.66,67.58,3.38,0.0
20210302,30.0444,12.88,67.4,3.77,0.07
20210303,30.0444,11.65,68.44,4.47,0.9
20210304,30.0444,12.86,66.58,4.4,1.06
20210305,30.0444,13.59,65.66,2.29,2.37
20210306,30.0444,14.08,62.15,4.11,1.33
20210307,30.0444,14.15,69.47,4.23,14.2
20210308,30.0444,14.31,70.78,3.77,19.48
20210309,30.0444,18.97,41.2,2.68,0.0
20210310,30.0444,21.54,32.1,5.11,0.0
20210311,30.0444,18.14,66.2,3.55,3.18
20210312,30.0444,14.82,60.66,5.51,1.22
20210313,30.0444,13.64,66.86,3.89,0.0
20210314,30.0444,15.0,67.05,4.29,0.0
20210315,30.0444,16.76,66.2,3.71,0.0
